url|font_icon|font|text|datetime|lang
./articles/CBMiigFodHRwczovL2cxLmdsb2JvLmNvbS9zcC92YWxlLWRvLXBhcmFpYmEtcmVnaWFvL25vdGljaWEvMjAyMy8wNS8wNC9lbWJyYWVyLXJlZ2lzdHJhLXByZWp1aXpvLWRlLXItNDY2OS1taWxob2VzLW5vLTEtdHJpbWVzdHJlLWRlLTIwMjMuZ2h0bWzSAQA?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://encrypted-tbn0.gstatic.com/faviconV2?url=https://g1.globo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|G1|Embraer registra prejuízo de R$ 466,9 milhões no 1° trimestre de 2023|2023-05-04T11:20:42Z|ptbr
./articles/CBMiVmh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbWVyY2Fkb3MvZW1icmFlci1lbWJyMy1yZXN1bHRhZG8tcHJpbWVpcm8tdHJpbWVzdHJlLTIwMjMv0gFaaHR0cHM6Ly93d3cuaW5mb21vbmV5LmNvbS5ici9tZXJjYWRvcy9lbWJyYWVyLWVtYnIzLXJlc3VsdGFkby1wcmltZWlyby10cmltZXN0cmUtMjAyMy9hbXAv?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.infomoney.com.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|InfoMoney|Embraer (EMBR3): prejuízo líquido ajustado sobe 13,2% no primeiro trimestre, para R$ 466,9 milhões|2023-05-04T10:32:03Z|ptbr
./articles/CBMiVmh0dHBzOi8vYnIuaW52ZXN0aW5nLmNvbS9uZXdzL3N0b2NrLW1hcmtldC1uZXdzL2VtYnJhZXItdGVtLXByZWp1aXpvLW5vLTFvLXRyaS0xMTA5NjIw0gEA?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://encrypted-tbn3.gstatic.com/faviconV2?url=https://br.investing.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|Investing.com Brasil|Embraer tem prejuízo no 1º tri Por Reuters|2023-05-04T10:52:00Z|ptbr
./articles/CBMibmh0dHBzOi8vd3d3Lmpvcm5hbGRlcG9tZXJvZGUuY29tLmJyL2dhcy1kZS1jb3ppbmhhLWZpY2EtbWFpcy1iYXJhdG8tZW0tc2MtY29tLW11ZGFuY2Etbm8tbW9kZWxvLWRlLXRyaWJ1dGFjYW8v0gEA?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.jornaldepomerode.com.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|Jornal de Pomerode|Gás de cozinha fica mais barato em SC com mudança no modelo de tributação|2023-05-03T20:09:41Z|ptbr
./articles/CBMigAFodHRwczovL3ZhbG9yaW52ZXN0ZS5nbG9iby5jb20vbWVyY2Fkb3MvcmVuZGEtdmFyaWF2ZWwvZW1wcmVzYXMvbm90aWNpYS8yMDIzLzA1LzA0L3BldHJvYnJhcy1wZXRyM3BldHI0LXByZS1zYWwtaW52ZXN0aWRvci5naHRtbNIBiwFodHRwczovL3ZhbG9yaW52ZXN0ZS5nbG9iby5jb20vZ29vZ2xlL2FtcC9tZXJjYWRvcy9yZW5kYS12YXJpYXZlbC9lbXByZXNhcy9ub3RpY2lhLzIwMjMvMDUvMDQvcGV0cm9icmFzLXBldHIzcGV0cjQtcHJlLXNhbC1pbnZlc3RpZG9yLmdodG1s?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://encrypted-tbn0.gstatic.com/faviconV2?url=https://valorinveste.globo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|Valor Investe|Petrobras (PETR3;PETR4) traz números operacionais dentro do esperado, mas pré-sal deixa o investidor sonhar|2023-05-04T14:51:48Z|ptbr
./articles/CBMiwwFodHRwczovL2dhdWNoYXpoLmNsaWNyYnMuY29tLmJyL3Bpb25laXJvL2dlcmFsL25vdGljaWEvMjAyMy8wNS9jb2JyYW5jYS11bmlmb3JtZS1kby1pY21zLW5vLWJyYXNpbC1wcm92b2NhLWF1bWVudG8tbWVkaW8tZGUtci01LW5vLXByZWNvLWRvLWdhcy1kZS1jb3ppbmhhLWVtLWNheGlhcy1jbGg3dmZoeXgwMDR6MDE1YmsxcDVwcDFvLmh0bWzSAb8BaHR0cHM6Ly9nYXVjaGF6aC5jbGljcmJzLmNvbS5ici9waW9uZWlyby9nZXJhbC9hbXAvMjAyMy8wNS9jb2JyYW5jYS11bmlmb3JtZS1kby1pY21zLW5vLWJyYXNpbC1wcm92b2NhLWF1bWVudG8tbWVkaW8tZGUtci01LW5vLXByZWNvLWRvLWdhcy1kZS1jb3ppbmhhLWVtLWNheGlhcy1jbGg3dmZoeXgwMDR6MDE1YmsxcDVwcDFvLmh0bWw?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://encrypted-tbn2.gstatic.com/faviconV2?url=https://gauchazh.clicrbs.com.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|GZH|Cobrança uniforme do ICMS no Brasil provoca aumento médio de R$ 5 no preço do gás de cozinha em Caxias|2023-05-03T20:27:53Z|ptbr
./articles/CBMiMWh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC11cy1jYW5hZGEtNjU0Nzc3NDfSATVodHRwczovL3d3dy5iYmMuY29tL25ld3Mvd29ybGQtdXMtY2FuYWRhLTY1NDc3NzQ3LmFtcA?hl=en-US&gl=US&ceid=US%3Aen|https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|BBC|US drug regulator approves world's first RSV vaccine|2023-05-03T22:30:25Z|eng
./articles/CBMiiAFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvbmV3cy9hcnRpY2xlLTEyMDQ2NTg3L0FuaGV1c2VyLUJ1c2NoLURJU0FWT1dTLWVudGlyZS1EeWxhbi1NdWx2YW5leS1CdWQtTGlnaHQtY2FtcGFpZ24tbGV0dGVyLXJldGFpbGVycy5odG1s0gGMAWh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9uZXdzL2FydGljbGUtMTIwNDY1ODcvYW1wL0FuaGV1c2VyLUJ1c2NoLURJU0FWT1dTLWVudGlyZS1EeWxhbi1NdWx2YW5leS1CdWQtTGlnaHQtY2FtcGFpZ24tbGV0dGVyLXJldGFpbGVycy5odG1s?hl=en-US&gl=US&ceid=US%3Aen|https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.dailymail.co.uk&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|Daily Mail|Anheuser-Busch DISAVOWS entire Dylan Mulvaney Bud Light campaign in letter to retailers|2023-05-04T14:09:06Z|eng
./articles/CBMiYWh0dHBzOi8vd3d3LnNwYWNlbW9uZXkuY29tLmJyL2dlcmFsL2FsdGFzLWUtYmFpeGFzLWRvLWlib3Zlc3BhLTA0MDUyMDIzLWVtYnIzLWNzbmEzLWNyZmIzLzE5MjYwNy_SAWdodHRwczovL3d3dy5zcGFjZW1vbmV5LmNvbS5ici9ub3RpY2lhL2FtcC8xOTI2MDcvYWx0YXMtZS1iYWl4YXMtZG8taWJvdmVzcGEtMDQwNTIwMjMtZW1icjMtY3NuYTMtY3JmYjMv?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.spacemoney.com.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|spacemoney.com.br|Altas e baixas do Ibovespa agora: Embraer (EMBR3) desaba 8,5%, CSN (CSNA3) recua 5,5% e Carrefour (CRFB3) cai ...|2023-05-04T14:30:00Z|ptbr
./articles/CBMiWmh0dHBzOi8vdWsuZmluYW5jZS55YWhvby5jb20vbmV3cy90cmVuZGluZy10aWNrZXJzLWFwcGxlLXNoZWxsLXBhY3dlc3QtbmV4dC0xMTI1MjU0MzcuaHRtbNIBYmh0dHBzOi8vdWsuZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL3RyZW5kaW5nLXRpY2tlcnMtYXBwbGUtc2hlbGwtcGFjd2VzdC1uZXh0LTExMjUyNTQzNy5odG1s?hl=en-US&gl=US&ceid=US%3Aen|https://encrypted-tbn1.gstatic.com/faviconV2?url=https://uk.finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|Yahoo Finance UK|"Trending tickers: Apple | Shell | PacWest | Next"|2023-05-04T11:25:59Z|eng
